,Time [Sec],Li7,Na23,Mg24,Al27,Si29,P31,K39,Ca43,Ca44,Ti47,Mn55,Fe57,Cu65,Ga71,Sr88,Y89,Ba138,Ce140,Pb208,Dist from rim,Na2O,MgO,Al2O3,SiO2,P2O5,K2O,CaO,TiO2,MnO,FeO,SrO,Si,Ti,Al,Fe,Mg,Ca,Na,K,Sr,An
277,,12.01,41169.05,155.45,151206.97,268317.36,29.98,1758.38,76044.3,72085.53,68.89,101.45,3623.74,5.12,23.12,963.07,0.22,294.01,4.95,2.72,509.57,5.42,0.03,27.89,56.03,0.01,0.21,9.84,0.01,0.01,0.46,0.11,2.53,0.0,1.484,0.017,0.002,0.476,0.475,0.012,0.003,49.0
278,,10.64,42866.8,152.01,139674.27,227912.18,40.97,1439.95,71660.35,75903.82,92.07,83.76,2630.63,7.34,20.7,978.04,0.15,289.86,6.49,2.1,509.0,6.26,0.03,28.61,52.86,0.01,0.19,11.51,0.02,0.01,0.37,0.12,2.366,0.001,1.509,0.014,0.002,0.552,0.543,0.011,0.003,50.0
279,,11.81,43937.77,180.94,141742.01,243978.83,43.97,1844.7,77018.75,78269.83,81.53,101.1,2889.55,4.8,21.34,916.84,0.48,290.81,5.96,2.94,508.44,6.13,0.03,27.72,54.02,0.01,0.23,11.34,0.01,0.01,0.38,0.11,2.423,0.0,1.466,0.014,0.002,0.545,0.533,0.013,0.003,50.0
280,,12.4,37067.7,153.39,153825.97,240255.78,22.99,1792.96,73365.0,70163.51,71.0,87.58,2803.23,4.64,27.01,952.03,0.2,297.13,6.69,2.54,507.87,5.2,0.03,30.27,53.53,0.01,0.22,10.22,0.01,0.01,0.38,0.11,2.412,0.0,1.608,0.014,0.002,0.493,0.454,0.013,0.003,51.0
281,,11.62,39847.45,142.37,150668.63,268152.18,59.95,2020.24,82867.38,73844.29,66.79,97.98,2932.71,4.16,26.04,899.64,0.22,311.84,7.16,2.59,507.3,5.25,0.02,27.82,56.06,0.01,0.24,10.1,0.01,0.01,0.37,0.1,2.535,0.0,1.483,0.014,0.001,0.489,0.46,0.014,0.003,51.0
282,,8.89,43553.37,170.61,149671.26,251838.85,50.96,2263.72,71903.85,78974.48,89.96,95.9,3062.22,6.55,23.61,1001.25,0.36,306.91,7.3,2.85,506.74,5.88,0.03,28.3,53.92,0.01,0.27,11.06,0.02,0.01,0.39,0.12,2.422,0.001,1.498,0.015,0.002,0.532,0.512,0.015,0.003,50.0
283,,13.18,39840.03,163.72,143186.71,251422.9,40.97,1803.6,70199.43,77688.35,83.64,98.33,3321.32,3.05,22.64,1015.37,0.22,312.28,7.97,1.53,506.17,5.49,0.03,27.63,54.94,0.01,0.22,11.1,0.01,0.01,0.44,0.12,2.479,0.0,1.469,0.017,0.002,0.537,0.48,0.013,0.003,52.0
284,,12.79,41585.52,184.39,162827.51,253771.73,33.98,1775.35,65574.52,80083.02,85.75,82.03,3170.17,3.69,24.09,982.5,0.43,282.43,7.36,2.37,505.6,5.46,0.03,29.97,52.88,0.01,0.21,10.91,0.01,0.01,0.4,0.11,2.378,0.0,1.588,0.015,0.002,0.526,0.476,0.012,0.003,52.0
285,,8.5,42423.43,143.75,149899.95,250429.95,61.95,1976.84,77262.39,62959.48,73.11,81.68,2458.08,5.12,24.09,955.23,0.29,295.31,6.29,1.97,505.04,5.89,0.02,29.15,55.15,0.01,0.25,9.07,0.01,0.01,0.33,0.11,2.477,0.0,1.543,0.012,0.001,0.436,0.513,0.014,0.003,45.0
286,,12.01,42689.04,184.39,144874.93,286500.37,29.98,1934.92,74582.78,74262.5,60.47,100.76,2975.88,5.12,22.96,1017.88,0.27,293.75,7.36,2.85,504.47,5.45,0.03,25.92,58.04,0.01,0.22,9.84,0.01,0.01,0.36,0.11,2.629,0.0,1.384,0.014,0.002,0.478,0.479,0.013,0.003,49.0
287,,8.3,45177.16,161.65,155849.45,242137.69,42.97,2021.64,69712.5,67155.86,85.75,92.78,3019.05,5.91,23.12,944.73,0.29,292.11,7.43,1.61,503.9,6.24,0.03,30.19,53.11,0.01,0.25,9.63,0.01,0.01,0.4,0.11,2.374,0.0,1.59,0.015,0.002,0.461,0.541,0.014,0.003,45.0
288,,10.64,46313.37,180.94,135405.58,247950.63,48.96,2012.43,73365.0,68742.75,77.32,77.87,2630.63,3.21,23.93,1010.9,0.39,308.47,5.96,2.19,503.34,6.55,0.03,26.86,55.69,0.01,0.25,10.1,0.01,0.01,0.36,0.12,2.495,0.0,1.418,0.013,0.002,0.485,0.569,0.014,0.003,45.0
289,,11.42,43217.81,180.94,140580.26,267666.95,38.97,2025.57,71660.35,63629.75,54.15,96.59,2803.23,3.21,25.39,897.86,0.2,294.19,7.9,2.37,502.77,5.87,0.03,26.74,57.65,0.01,0.25,8.96,0.01,0.01,0.36,0.1,2.6,0.0,1.421,0.014,0.002,0.433,0.513,0.014,0.003,45.0
290,,10.45,39092.76,156.83,131793.97,238355.51,43.97,1918.68,66791.41,71461.09,68.89,104.92,2695.35,3.85,30.25,983.75,0.27,277.33,6.16,2.63,502.2,5.73,0.03,27.09,55.48,0.01,0.25,10.88,0.01,0.01,0.38,0.12,2.501,0.0,1.439,0.014,0.002,0.525,0.501,0.014,0.003,50.0
291,,8.69,40791.95,167.85,128320.4,248460.36,46.96,1653.25,73852.1,70733.53,94.17,91.74,2975.88,4.8,24.26,886.88,0.27,311.32,7.7,2.28,501.64,5.88,0.03,25.92,56.82,0.01,0.21,10.58,0.02,0.01,0.41,0.11,2.563,0.001,1.378,0.015,0.002,0.511,0.514,0.012,0.003,49.0
292,,12.2,42716.42,161.65,137976.9,250403.44,28.98,1723.79,73121.47,78023.49,64.68,72.67,2544.35,5.75,25.55,973.94,0.24,295.66,6.29,2.06,501.07,5.94,0.03,26.87,55.22,0.01,0.21,11.25,0.01,0.01,0.34,0.12,2.484,0.0,1.425,0.013,0.002,0.542,0.518,0.012,0.003,51.0
293,,12.01,44118.93,141.68,141917.65,261360.57,47.96,1964.57,58276.13,71544.16,71.0,79.6,2867.97,4.16,22.8,889.36,0.2,300.5,6.9,2.28,500.5,5.98,0.02,26.96,56.22,0.01,0.24,10.07,0.01,0.01,0.37,0.1,2.53,0.0,1.43,0.014,0.001,0.486,0.522,0.014,0.003,48.0
294,,12.4,42295.04,155.45,156938.75,244714.88,29.98,1792.1,77018.75,64844.27,113.14,91.74,2609.06,4.8,22.48,887.06,0.27,285.63,5.96,2.63,499.93,5.85,0.03,30.41,53.7,0.01,0.22,9.31,0.02,0.01,0.34,0.11,2.407,0.001,1.607,0.013,0.002,0.447,0.508,0.013,0.003,46.0
295,,11.62,39818.37,185.77,139340.28,247583.63,24.99,1751.77,68982.15,84846.55,75.21,93.47,2630.63,4.64,19.4,888.83,0.24,291.76,6.36,2.1,499.37,5.52,0.03,27.07,54.47,0.01,0.22,12.21,0.01,0.01,0.35,0.11,2.457,0.0,1.439,0.013,0.002,0.59,0.483,0.013,0.003,54.0
296,,11.03,40470.76,165.78,148910.17,260797.84,29.98,1838.56,74826.36,70289.54,62.58,88.96,3213.35,4.8,23.93,909.03,0.24,295.66,6.76,2.5,498.8,5.45,0.03,28.13,55.78,0.01,0.22,9.83,0.01,0.01,0.41,0.1,2.518,0.0,1.497,0.015,0.002,0.475,0.477,0.013,0.003,49.0
297,,12.4,44076.22,149.26,146741.51,243626.1,32.98,1952.73,68495.29,68453.45,96.28,87.92,2673.78,5.59,25.55,900.17,0.13,293.49,6.96,2.28,498.23,6.18,0.03,28.85,54.23,0.01,0.24,9.97,0.02,0.01,0.36,0.11,2.429,0.001,1.523,0.013,0.002,0.478,0.537,0.014,0.003,46.0
298,,12.2,47659.7,164.41,144326.16,262702.19,37.97,1786.99,75800.7,75542.9,58.36,81.68,2889.55,3.05,27.82,956.65,0.1,306.21,6.83,2.59,497.67,6.35,0.03,26.94,55.52,0.01,0.21,10.44,0.01,0.01,0.37,0.11,2.491,0.0,1.424,0.014,0.002,0.502,0.552,0.012,0.003,47.0
299,,13.57,42343.67,165.1,152759.89,256463.1,10.01,2004.86,65817.89,68049.56,85.75,76.14,2889.55,3.53,26.85,958.79,0.17,284.85,6.23,2.32,497.1,5.72,0.03,28.94,55.01,0.0,0.24,9.55,0.01,0.01,0.37,0.11,2.474,0.0,1.534,0.014,0.002,0.46,0.499,0.014,0.003,47.0
300,,10.64,43522.25,149.94,131408.21,257543.73,42.97,1815.75,76044.3,73351.61,64.68,80.99,2781.65,3.85,25.39,912.22,0.34,286.75,6.02,2.41,496.53,6.06,0.03,25.65,56.92,0.01,0.23,10.6,0.01,0.01,0.37,0.11,2.565,0.0,1.362,0.014,0.002,0.512,0.529,0.013,0.003,49.0
301,,11.81,40451.21,141.0,134593.62,258016.76,15.0,1658.25,69955.97,66419.7,62.58,81.34,2565.92,3.21,20.37,960.22,0.36,294.7,6.16,1.88,495.97,5.68,0.02,26.47,57.46,0.0,0.21,9.67,0.01,0.01,0.34,0.12,2.596,0.0,1.409,0.013,0.001,0.468,0.497,0.012,0.003,48.0
302,,10.25,39605.06,174.74,148894.26,242920.62,34.97,1958.17,60708.37,71927.99,77.32,86.19,2932.71,4.48,22.15,954.7,0.34,296.52,6.36,2.1,495.4,5.54,0.03,29.22,53.97,0.01,0.24,10.45,0.01,0.01,0.39,0.11,2.429,0.0,1.55,0.015,0.002,0.504,0.483,0.014,0.003,50.0
303,,8.89,38656.68,163.72,146154.97,248034.22,35.97,1728.32,70686.38,77840.17,56.26,90.7,2695.35,4.0,20.7,990.35,0.15,291.16,6.09,2.99,494.83,5.34,0.03,28.32,54.42,0.01,0.21,11.17,0.01,0.01,0.36,0.12,2.456,0.0,1.506,0.014,0.002,0.54,0.467,0.012,0.003,53.0
304,,12.01,42594.44,169.23,133100.26,271485.83,16.0,1747.14,75313.52,70533.02,87.85,87.23,3105.4,4.48,26.04,875.21,0.24,295.22,6.9,2.14,494.27,5.76,0.03,25.25,58.31,0.0,0.21,9.91,0.01,0.01,0.4,0.1,2.637,0.0,1.346,0.015,0.002,0.48,0.505,0.012,0.003,48.0
305,,9.08,42608.4,152.7,137174.84,252044.77,34.97,1651.04,68251.86,75895.22,73.11,81.34,2565.92,4.16,23.93,922.7,0.29,281.31,6.16,2.76,493.7,5.93,0.03,26.75,55.65,0.01,0.21,10.96,0.01,0.01,0.34,0.11,2.505,0.0,1.419,0.013,0.002,0.529,0.518,0.012,0.003,50.0
306,,10.84,39108.43,139.62,129917.95,237480.8,10.01,1866.24,74582.78,70988.46,66.79,90.0,3256.54,3.69,22.48,913.29,0.27,292.02,6.43,2.06,493.13,5.77,0.03,26.87,55.61,0.0,0.25,10.87,0.01,0.01,0.46,0.12,2.506,0.0,1.427,0.017,0.002,0.525,0.504,0.014,0.003,50.0
307,,8.5,35602.81,181.63,131938.69,243132.68,30.98,1647.67,60708.37,70919.72,79.43,88.27,2544.35,4.96,22.8,907.61,0.34,284.76,6.36,3.16,492.57,5.2,0.03,26.99,56.32,0.01,0.21,10.74,0.01,0.01,0.35,0.11,2.551,0.0,1.441,0.013,0.002,0.521,0.457,0.012,0.003,53.0
308,,10.06,40838.8,159.59,138930.83,233663.96,19.99,1748.3,79211.62,75333.79,64.68,86.88,2501.21,3.05,22.31,972.51,0.15,292.98,6.43,2.59,492.0,5.92,0.03,28.23,53.76,0.0,0.23,11.34,0.01,0.01,0.35,0.12,2.414,0.0,1.494,0.013,0.002,0.546,0.515,0.013,0.003,51.0
309,,12.2,42276.45,166.47,150238.87,275219.08,34.97,1738.66,84086.25,72672.74,66.79,101.8,2846.39,3.69,28.79,894.14,0.17,291.85,5.69,1.97,491.43,5.49,0.03,27.33,56.68,0.01,0.2,9.79,0.01,0.01,0.35,0.1,2.56,0.0,1.455,0.013,0.002,0.474,0.481,0.012,0.003,49.0
310,,9.28,39259.9,154.08,145255.47,278848.34,29.98,1843.16,76044.3,76115.78,56.26,93.82,2997.47,4.0,20.86,928.91,0.2,289.69,8.37,1.97,490.86,5.1,0.02,26.44,57.46,0.01,0.21,10.26,0.01,0.01,0.37,0.1,2.608,0.0,1.414,0.014,0.001,0.499,0.449,0.012,0.003,52.0
311,,12.59,37885.58,151.32,148499.07,232328.47,24.99,1951.93,70929.86,66926.71,83.64,94.86,2673.78,5.43,21.99,912.93,0.22,285.19,5.82,1.48,490.3,5.49,0.03,30.18,53.46,0.01,0.25,10.07,0.02,0.01,0.37,0.11,2.403,0.001,1.599,0.014,0.002,0.485,0.479,0.014,0.003,50.0
312,,10.06,39392.43,147.88,147517.43,254984.89,34.97,1615.62,73852.1,73116.73,73.11,83.07,2113.11,5.12,26.36,957.55,0.2,274.83,5.96,3.07,489.73,5.39,0.02,28.27,55.33,0.01,0.2,10.38,0.01,0.01,0.28,0.11,2.497,0.0,1.503,0.011,0.001,0.502,0.472,0.012,0.003,51.0
313,,13.38,44512.65,169.92,135139.66,273891.75,43.97,1754.34,67034.8,73397.44,87.85,97.98,2695.35,6.7,22.31,934.77,0.32,310.37,7.23,2.37,489.16,5.93,0.03,25.25,57.94,0.01,0.21,10.16,0.01,0.01,0.34,0.11,2.616,0.0,1.344,0.013,0.002,0.491,0.519,0.012,0.003,48.0
314,,11.03,41495.07,145.13,136045.37,260536.85,41.97,1825.15,70929.86,84548.66,68.89,92.43,2781.65,2.89,23.29,958.61,0.27,290.12,8.3,2.72,488.6,5.62,0.02,25.81,55.95,0.01,0.22,11.88,0.01,0.01,0.36,0.11,2.528,0.0,1.374,0.014,0.001,0.575,0.492,0.013,0.003,53.0
315,,10.64,46603.64,169.23,153586.02,247551.01,34.97,1954.26,59005.75,74654.93,81.53,90.35,2846.39,4.96,23.45,932.64,0.2,310.02,7.83,2.14,488.03,6.32,0.03,29.17,53.24,0.01,0.24,10.5,0.01,0.01,0.37,0.11,2.38,0.0,1.537,0.014,0.002,0.503,0.548,0.014,0.003,47.0
316,,8.5,38727.85,199.56,152354.92,248715.23,15.0,1773.09,71416.85,69286.99,77.32,91.74,2760.08,3.53,20.05,963.96,0.24,299.64,6.69,2.37,487.46,5.35,0.03,29.48,54.49,0.0,0.22,9.93,0.01,0.01,0.36,0.11,2.456,0.0,1.566,0.014,0.002,0.48,0.467,0.013,0.003,50.0
317,,12.59,42271.96,153.39,147016.13,251161.93,7.01,2032.08,72390.88,75408.27,85.75,75.1,2803.23,5.12,21.5,909.39,0.24,295.92,6.09,2.01,486.9,5.78,0.03,28.2,54.54,0.0,0.25,10.71,0.01,0.01,0.37,0.11,2.452,0.0,1.494,0.014,0.002,0.516,0.504,0.014,0.003,50.0
318,,8.5,37901.11,173.36,136515.93,237743.82,23.99,1484.81,80186.36,80191.86,68.89,86.19,2695.35,6.23,24.42,959.86,0.36,283.21,7.63,2.23,486.33,5.45,0.03,27.54,54.29,0.01,0.19,11.98,0.01,0.01,0.37,0.12,2.449,0.0,1.464,0.014,0.002,0.579,0.477,0.011,0.003,54.0
319,,10.25,41461.02,143.75,142482.71,247385.85,30.98,1668.99,75313.52,75190.58,62.58,73.02,2544.35,5.12,24.26,925.18,0.1,305.95,6.49,2.41,485.76,5.78,0.02,27.86,54.76,0.01,0.21,10.89,0.01,0.01,0.34,0.11,2.464,0.0,1.477,0.013,0.001,0.525,0.504,0.012,0.003,50.0
320,,15.33,40457.61,145.13,161621.46,237297.3,37.97,1686.8,81648.65,71552.75,79.43,89.66,3299.73,5.12,23.93,1004.11,0.24,301.71,7.97,1.75,485.2,5.59,0.02,31.3,52.03,0.01,0.21,10.26,0.01,0.01,0.44,0.12,2.333,0.0,1.654,0.017,0.001,0.493,0.486,0.012,0.003,50.0
321,,10.64,44005.53,148.57,133677.85,239536.03,18.99,1822.38,69955.97,71455.36,68.89,83.76,2803.23,4.32,21.99,899.1,0.39,311.41,6.56,2.45,484.63,6.37,0.03,27.11,55.0,0.0,0.24,10.73,0.01,0.01,0.39,0.11,2.465,0.0,1.432,0.015,0.002,0.515,0.554,0.014,0.003,48.0
322,,10.84,41112.72,137.55,132914.56,229117.18,20.99,1669.72,70929.86,74399.99,52.04,98.67,2932.71,6.23,24.9,884.94,0.24,309.33,7.03,2.54,484.06,6.1,0.03,27.66,53.98,0.01,0.22,11.46,0.01,0.01,0.42,0.11,2.422,0.0,1.463,0.016,0.002,0.551,0.531,0.013,0.003,50.0
323,,10.06,40152.7,178.87,159154.88,244215.34,8.01,1668.05,72147.37,68089.66,79.43,80.64,2932.71,5.59,24.09,903.0,0.24,301.63,6.29,2.14,483.49,5.52,0.03,30.69,53.31,0.0,0.21,9.72,0.01,0.01,0.39,0.11,2.395,0.0,1.625,0.015,0.002,0.468,0.481,0.012,0.003,49.0
324,,8.69,39059.05,135.49,148783.29,239503.4,31.98,1698.27,69225.6,71544.16,71.0,89.31,3602.14,4.64,26.04,929.44,0.34,296.78,7.23,2.32,482.93,5.52,0.02,29.45,53.68,0.01,0.21,10.49,0.01,0.01,0.49,0.11,2.416,0.0,1.562,0.018,0.001,0.506,0.482,0.012,0.003,51.0
325,,10.25,43080.1,149.94,152708.57,264712.54,31.98,1828.72,67278.2,71251.99,58.36,85.15,3472.52,5.12,23.77,898.57,0.43,302.15,4.89,2.45,482.36,5.69,0.02,28.26,55.47,0.01,0.22,9.77,0.01,0.01,0.44,0.1,2.498,0.0,1.5,0.017,0.001,0.471,0.497,0.013,0.003,48.0
326,,12.01,41865.37,183.7,128905.67,248762.12,36.97,1688.5,70442.91,72709.98,64.68,92.78,2760.08,4.96,24.9,864.07,0.27,286.06,8.03,2.23,481.79,6.0,0.03,25.88,56.55,0.01,0.22,10.81,0.01,0.01,0.38,0.11,2.548,0.0,1.374,0.014,0.002,0.522,0.524,0.013,0.003,49.0
327,,13.57,39690.74,165.78,136004.12,249887.6,20.99,1586.37,77993.3,74428.64,96.28,79.26,2565.92,4.64,27.33,895.03,0.2,288.48,6.96,2.63,481.23,5.6,0.03,26.88,55.92,0.01,0.2,10.89,0.02,0.01,0.35,0.11,2.524,0.001,1.43,0.013,0.002,0.527,0.49,0.012,0.003,51.0
328,,10.25,43782.28,153.39,141415.44,251838.85,24.99,1943.39,63871.12,78722.41,60.47,80.99,3062.22,3.53,24.09,907.26,0.24,287.61,7.1,2.19,480.66,6.0,0.03,27.18,54.81,0.01,0.24,11.21,0.01,0.01,0.4,0.11,2.463,0.0,1.44,0.015,0.002,0.54,0.523,0.014,0.003,50.0
329,,10.64,42432.69,152.7,151879.61,242930.83,32.98,1762.45,71173.35,65422.88,62.58,82.38,2134.67,3.69,23.61,924.12,0.27,291.16,7.23,2.59,480.09,5.95,0.03,29.83,54.03,0.01,0.22,9.52,0.01,0.01,0.29,0.11,2.422,0.0,1.576,0.011,0.002,0.457,0.517,0.013,0.003,46.0
330,,9.08,41260.99,143.75,139340.74,242910.44,39.97,1919.51,74582.78,81798.8,79.43,85.15,2393.38,3.21,24.26,896.62,0.2,288.82,7.3,2.41,479.53,5.79,0.02,27.42,54.13,0.01,0.24,11.92,0.01,0.01,0.32,0.11,2.436,0.0,1.454,0.012,0.001,0.575,0.505,0.014,0.003,53.0
331,,10.45,40023.64,174.05,133442.94,238414.62,28.98,1653.54,64357.77,71509.79,102.6,83.42,2522.78,4.32,24.58,991.6,0.32,303.62,6.56,1.88,478.96,5.84,0.03,27.31,55.25,0.01,0.22,10.84,0.02,0.01,0.35,0.12,2.487,0.001,1.449,0.013,0.002,0.523,0.51,0.013,0.003,50.0
332,,10.25,39231.77,176.12,157348.94,244884.11,25.98,2098.02,85792.9,80853.54,98.39,78.91,3450.91,2.42,24.9,914.89,0.15,320.42,7.1,2.59,478.39,5.31,0.03,29.85,52.61,0.01,0.25,11.36,0.02,0.01,0.45,0.11,2.368,0.001,1.584,0.017,0.002,0.548,0.463,0.014,0.003,53.0
333,,9.67,41262.01,129.99,156446.87,253626.97,30.98,2236.47,72877.93,74139.33,83.64,90.0,2501.21,6.07,25.39,991.6,0.24,307.43,7.63,2.19,477.83,5.53,0.02,29.41,53.98,0.01,0.27,10.32,0.01,0.01,0.32,0.11,2.429,0.0,1.559,0.012,0.001,0.497,0.482,0.015,0.003,50.0
334,,12.59,40400.81,185.08,153636.7,258534.63,20.99,1966.67,71660.35,72721.44,71.0,87.92,2738.5,4.64,22.8,969.84,0.15,306.13,7.57,3.21,477.26,5.41,0.03,28.82,54.91,0.0,0.24,10.1,0.01,0.01,0.35,0.11,2.476,0.0,1.531,0.013,0.002,0.488,0.473,0.014,0.003,50.0
335,,13.18,40933.54,136.87,141051.55,268515.11,22.99,1929.28,75800.7,72426.4,68.89,90.0,2781.65,4.8,27.33,944.2,0.17,298.51,7.3,2.06,476.69,5.49,0.02,26.52,57.16,0.01,0.23,10.08,0.01,0.01,0.36,0.11,2.585,0.0,1.414,0.014,0.001,0.488,0.481,0.013,0.003,50.0
336,,11.62,37574.07,140.31,149685.44,258970.97,48.96,1743.0,60951.63,74480.2,56.26,77.52,3256.54,4.64,23.77,975.9,0.1,290.9,5.42,2.85,476.13,5.07,0.02,28.29,55.42,0.01,0.21,10.42,0.01,0.01,0.42,0.11,2.508,0.0,1.509,0.016,0.001,0.505,0.445,0.012,0.003,52.0
337,,9.67,37475.45,171.98,139167.95,255276.46,18.99,1934.22,65817.89,72377.71,83.64,84.8,2673.78,4.0,21.5,904.6,0.27,294.19,7.9,2.59,475.56,5.22,0.03,27.16,56.4,0.0,0.24,10.46,0.01,0.01,0.36,0.11,2.553,0.0,1.449,0.014,0.002,0.507,0.458,0.014,0.003,52.0
338,,7.91,39915.01,143.75,138578.46,239052.81,44.96,1782.26,75800.7,67983.68,71.0,94.17,2760.08,4.48,22.48,901.23,0.15,290.47,7.43,2.54,474.99,5.79,0.03,28.17,55.02,0.01,0.23,10.23,0.01,0.01,0.38,0.11,2.475,0.0,1.494,0.014,0.002,0.493,0.505,0.013,0.003,49.0
339,,9.67,41540.09,160.27,146585.46,242841.12,17.0,1965.97,75800.7,74319.79,85.75,92.08,2673.78,5.12,24.58,914.18,0.32,293.84,7.3,2.45,474.42,5.81,0.03,28.73,53.9,0.0,0.25,10.79,0.01,0.01,0.36,0.11,2.421,0.0,1.521,0.014,0.002,0.519,0.506,0.014,0.003,50.0
340,,9.86,39459.04,174.05,152122.12,256459.01,19.99,1968.4,82867.38,83422.93,47.83,87.23,2544.35,6.23,23.45,907.26,0.2,287.53,7.03,2.14,473.86,5.25,0.03,28.37,54.15,0.0,0.23,11.52,0.01,0.01,0.32,0.1,2.444,0.0,1.509,0.012,0.002,0.557,0.459,0.013,0.003,54.0
341,,10.45,41682.36,160.96,150685.29,288029.56,33.98,2022.27,62897.86,73268.54,83.64,85.15,2695.35,6.7,25.88,871.67,0.13,312.1,6.49,2.9,473.29,5.27,0.03,26.68,57.74,0.01,0.23,9.61,0.01,0.01,0.32,0.09,2.616,0.0,1.425,0.012,0.002,0.466,0.463,0.013,0.002,49.0
342,,12.79,40684.0,158.9,146009.79,252970.44,39.97,1624.83,62411.27,70157.78,75.21,87.92,2716.92,4.16,20.7,938.33,0.08,294.45,6.56,2.01,472.72,5.61,0.03,28.23,55.38,0.01,0.2,10.05,0.01,0.01,0.36,0.11,2.495,0.0,1.499,0.014,0.002,0.485,0.49,0.011,0.003,49.0
343,,9.28,39113.33,153.39,144567.66,254391.56,27.98,1845.73,72147.37,70567.39,58.36,84.11,2954.3,5.43,26.04,929.98,0.1,292.98,5.62,1.97,472.16,5.4,0.03,27.97,55.73,0.01,0.23,10.11,0.01,0.01,0.39,0.11,2.516,0.0,1.488,0.015,0.002,0.489,0.473,0.013,0.003,50.0
344,,9.08,40515.98,154.76,137678.78,259501.08,57.95,1863.37,81892.39,71343.65,66.79,83.76,2371.82,4.16,22.31,933.35,0.22,299.55,7.03,2.85,471.59,5.59,0.03,26.63,56.84,0.01,0.23,10.22,0.01,0.01,0.31,0.11,2.568,0.0,1.418,0.012,0.002,0.495,0.49,0.013,0.003,50.0
345,,9.67,40290.34,139.62,133855.03,256526.3,32.98,1917.81,74339.22,66542.87,83.64,86.88,2220.89,4.64,24.74,868.49,0.17,286.66,7.23,2.68,471.02,5.68,0.02,26.46,57.41,0.01,0.24,9.74,0.01,0.01,0.3,0.1,2.593,0.0,1.409,0.011,0.001,0.471,0.497,0.014,0.003,48.0
346,,12.2,38922.09,136.87,149796.31,251647.18,51.96,1662.92,68982.15,71249.12,71.0,83.76,2932.71,7.02,23.12,901.41,0.03,284.33,7.03,2.5,470.46,5.35,0.02,28.85,54.88,0.01,0.2,10.16,0.01,0.01,0.38,0.11,2.476,0.0,1.534,0.014,0.001,0.491,0.468,0.012,0.003,51.0
347,,10.25,37364.78,138.93,133091.66,254697.4,30.98,1906.67,67765.02,67081.39,68.89,99.37,3019.05,4.64,25.23,936.02,0.2,306.73,7.36,2.32,469.89,5.31,0.02,26.52,57.45,0.01,0.24,9.9,0.01,0.01,0.41,0.11,2.603,0.0,1.416,0.016,0.001,0.481,0.466,0.014,0.003,50.0
348,,12.4,42766.0,129.99,136077.48,272807.02,43.97,2050.46,75313.52,68221.43,75.21,79.26,2328.69,4.0,18.59,871.67,0.08,296.87,7.63,2.41,469.32,5.76,0.02,25.69,58.31,0.01,0.25,9.54,0.01,0.01,0.3,0.1,2.635,0.0,1.368,0.011,0.001,0.462,0.505,0.014,0.003,47.0
349,,13.77,41347.14,154.76,140041.91,312131.59,30.98,1936.89,74095.65,66299.4,68.89,68.17,3126.99,3.69,20.05,884.76,0.22,284.24,7.7,2.28,468.76,5.12,0.02,24.3,61.33,0.01,0.21,8.52,0.01,0.01,0.37,0.09,2.796,0.0,1.305,0.014,0.001,0.416,0.452,0.012,0.002,47.0
350,,10.06,41711.31,128.61,137396.58,247538.77,29.98,2165.73,75069.94,66365.28,45.73,91.04,2544.35,4.48,19.56,866.37,0.24,290.04,6.09,2.06,468.19,5.95,0.02,27.45,56.0,0.01,0.28,9.82,0.01,0.01,0.35,0.11,2.519,0.0,1.455,0.013,0.001,0.473,0.519,0.016,0.003,47.0
351,,12.2,38092.35,138.24,139928.94,275767.53,46.96,1831.79,79211.62,67138.67,77.32,89.66,3083.81,4.32,20.86,896.62,0.29,288.57,6.09,2.59,467.62,5.1,0.02,26.24,58.56,0.01,0.22,9.32,0.01,0.01,0.39,0.1,2.66,0.0,1.405,0.015,0.001,0.454,0.449,0.013,0.003,50.0
352,,11.03,41651.04,175.43,145144.97,258610.07,20.99,1858.7,82867.38,69413.03,64.68,78.56,2673.78,9.24,24.58,930.51,0.32,300.24,6.83,2.19,467.06,5.68,0.03,27.76,55.99,0.0,0.23,9.83,0.01,0.01,0.35,0.11,2.523,0.0,1.474,0.013,0.002,0.475,0.496,0.013,0.003,48.0
353,,10.84,41014.31,169.92,153872.98,242107.1,28.98,1855.67,75313.52,82148.27,89.96,93.47,3191.76,3.85,25.88,858.06,0.36,293.84,5.56,2.9,466.49,5.6,0.03,29.46,52.48,0.01,0.23,11.65,0.02,0.01,0.42,0.1,2.358,0.001,1.56,0.016,0.002,0.561,0.488,0.013,0.003,53.0
354,,11.03,38693.87,154.08,155739.58,249239.22,44.96,2113.46,79698.98,76433.74,79.43,84.8,2695.35,4.0,24.09,958.08,0.2,299.81,7.1,2.32,465.92,5.25,0.03,29.6,53.63,0.01,0.26,10.76,0.01,0.01,0.35,0.11,2.417,0.0,1.572,0.013,0.002,0.519,0.459,0.015,0.003,52.0
355,,11.81,39085.68,147.19,150018.96,285456.45,24.99,1682.0,69469.05,71042.88,85.75,80.99,2738.5,4.16,26.52,896.8,0.2,288.31,7.63,2.5,465.35,5.0,0.02,26.91,57.97,0.01,0.19,9.44,0.01,0.01,0.33,0.1,2.632,0.0,1.44,0.013,0.001,0.459,0.44,0.011,0.003,50.0
