,Ca44,Na23,K39,Al27,Si29,An
448,79908.28,37387.93,1732.76,139970.47,287010.11,54.0
449,76115.78,38960.91,1606.92,143543.84,278819.8,52.0
450,77994.85,37650.14,1490.41,156500.49,269259.32,54.0
451,77639.66,40491.8,1445.52,161035.46,274629.82,52.0
452,73391.72,39526.13,1574.8,149779.38,254175.44,51.0
453,77596.69,41448.83,1360.7,168942.47,260905.9,51.0
454,71592.86,37411.09,1080.69,145799.94,256550.77,52.0
455,79074.74,44228.65,1423.07,132795.0,243163.26,50.0
456,75757.73,39216.1,1317.54,142756.78,251549.32,52.0
457,75903.82,34124.83,1292.99,148420.12,247799.76,56.0
458,72495.15,36374.92,1513.86,150438.94,274709.34,53.0
459,73274.27,40007.02,1151.01,151292.32,235490.82,51.0
460,79472.89,40963.23,1755.74,158683.95,253822.71,52.0
461,81887.6,42838.53,1434.98,161882.91,267181.68,52.0
462,76513.94,41448.15,1566.66,154537.11,279614.99,51.0
463,82139.67,35397.81,1426.01,158968.9,254460.88,57.0
464,84634.59,36172.38,1542.91,156631.49,271512.34,57.0
465,76771.74,36890.9,1180.42,159234.28,249885.56,54.0
466,73832.84,36567.05,1293.99,154233.86,242056.14,53.0
467,80214.78,37898.52,1394.89,167213.92,264321.07,54.0
468,78745.33,35367.5,1019.66,160070.1,277894.12,56.0
469,82835.73,37233.67,1279.22,156080.97,253109.08,56.0
470,83319.82,39555.14,1349.43,165330.32,283921.17,54.0
471,89220.53,34229.04,1118.39,153001.39,264286.42,59.0
472,77625.34,37540.76,1199.2,171820.25,271398.14,54.0
473,87372.98,31874.74,1247.23,150499.95,256053.29,61.0
474,88515.88,35409.66,1139.8,153178.77,239391.27,58.0
475,85651.46,35585.03,1277.48,156415.14,234793.51,57.0
476,91666.75,34693.79,1345.99,154378.3,253949.11,60.0
477,81271.75,36746.03,1109.61,157804.58,244305.05,56.0
478,75637.43,36044.95,1147.67,154687.5,269901.59,54.0
479,80950.94,37297.28,1535.44,148169.01,249716.33,55.0
480,79942.66,32845.26,1396.69,160691.51,241587.17,58.0
481,89114.55,34992.44,1337.12,163688.48,261562.41,59.0
482,81203.0,36698.97,1260.84,175096.78,249852.94,55.0
483,83334.14,35629.84,1321.28,170784.47,250843.86,57.0
484,86419.12,35732.75,1340.69,153583.46,280754.73,58.0
485,84585.89,37149.36,1344.46,146504.13,258212.49,56.0
486,79704.91,34129.6,1271.28,149371.76,264498.45,57.0
487,81214.46,35899.95,1258.54,151061.62,254709.63,56.0
488,84717.65,35894.03,1164.58,153512.29,234489.71,57.0
489,90692.85,35000.27,1004.85,151628.59,244563.99,59.0
490,87029.25,37680.25,1672.89,159217.63,239847.98,56.0
491,79246.6,35282.37,1247.0,151208.63,253735.03,56.0
492,77063.91,39853.44,1501.09,163906.65,254858.48,52.0
493,79810.89,38718.05,1241.03,145393.51,252409.74,54.0
494,81257.43,37243.62,1220.41,159461.23,241389.4,55.0
495,87745.35,34317.37,991.87,163772.83,239497.29,59.0
496,72512.34,35808.76,812.06,152462.14,259568.37,53.0
497,78404.46,37254.92,1020.26,145982.44,236593.87,54.0
498,84729.11,35065.65,1180.99,151568.86,254923.73,58.0
499,80171.81,38127.02,1287.65,142731.26,237837.62,54.0
500,84508.55,37370.91,1421.44,162303.89,246662.03,56.0
501,76840.48,36401.83,1052.14,158486.64,237238.17,54.0
502,87012.06,36481.85,1144.63,163541.12,262359.63,57.0
503,85840.51,34674.25,1164.08,165537.05,230805.41,58.0
504,81088.43,36256.08,1154.81,139183.4,292851.61,56.0
505,94299.16,36210.65,1395.59,167652.83,260928.32,59.0
506,84603.08,35183.82,1142.57,147206.12,248662.21,58.0
507,83984.36,35160.59,1208.37,153078.05,243157.14,57.0
508,85688.69,38994.96,1357.9,165917.05,283680.57,55.0
509,77370.4,41194.11,1237.72,157681.82,247553.04,51.0
510,80675.95,35819.25,1036.7,160290.11,281384.74,56.0
511,84027.33,40146.57,1384.31,162413.84,255633.25,54.0
512,89635.87,41967.25,1209.84,162792.38,260489.95,55.0
513,82457.62,37178.23,1120.72,151991.02,234249.13,56.0
514,84754.89,39866.72,1128.06,155039.05,257763.92,55.0
515,83961.45,40328.75,1067.59,151575.35,253086.66,54.0
516,85041.33,36477.7,1258.04,159065.41,259961.87,57.0
517,86886.02,36248.65,1194.87,155251.64,267862.67,57.0
518,87201.11,39569.99,1179.99,149530.2,251412.72,55.0
519,83188.05,35986.31,1335.22,161045.98,261274.93,57.0
520,101652.14,36969.15,1473.07,169509.45,271736.6,61.0
521,85877.75,37357.42,1084.96,165187.25,267789.28,56.0
522,79464.3,35880.88,1208.97,163810.51,245159.35,55.0
523,89068.72,34387.04,1028.7,164927.82,245752.68,59.0
524,80117.39,36894.3,1360.8,146759.54,216233.28,55.0
525,91755.55,35953.48,1039.37,188749.93,251139.49,59.0
526,82663.86,40277.4,1150.14,156745.92,276381.27,54.0
527,85482.46,35080.02,1385.98,167009.66,262863.27,58.0
528,86957.63,37959.0,1159.24,168386.11,236487.86,56.0
529,92067.77,37386.03,999.64,171254.47,258701.83,58.0
530,93522.9,35214.46,1235.09,161198.29,259490.89,60.0
531,79664.81,34183.27,1266.71,162380.36,258762.99,57.0
532,79226.55,36010.69,1415.93,155046.46,244629.24,55.0
533,80942.34,36819.25,1156.11,157232.57,262015.07,55.0
534,92199.53,38490.44,1122.95,160288.36,247287.99,57.0
535,94133.02,35424.3,1383.61,172814.34,248601.05,60.0
536,99286.13,35245.25,1188.96,156576.4,249846.82,61.0
537,84290.85,37045.56,1120.49,166815.63,246235.9,56.0
538,90443.64,36398.76,1129.69,174529.08,263693.09,58.0
539,87206.84,34831.64,1403.89,161461.29,244088.93,58.0
540,92643.52,35514.54,1191.96,147899.34,259276.8,59.0
541,89561.4,36747.19,1182.79,152651.5,265956.28,58.0
542,89527.03,35621.53,1078.83,158627.23,245208.3,59.0
543,92514.62,40935.31,1217.11,158775.34,243218.3,56.0
544,82128.22,36949.19,1098.2,161706.81,258053.45,56.0
545,88000.28,35731.19,1368.87,145991.58,258408.23,58.0
546,91030.85,37798.0,1196.33,143757.62,261807.08,58.0
547,89326.52,38137.58,1083.03,156416.78,269314.37,57.0
548,89048.67,34786.83,1393.12,149682.23,271347.19,59.0
549,86450.63,35777.43,1220.08,171708.56,237191.29,58.0
550,78653.67,39219.92,1240.36,148073.98,241375.13,53.0
551,87226.89,32093.37,1198.07,156834.56,242388.48,60.0
552,88054.71,34543.62,1263.77,161575.27,257101.27,59.0
553,88361.2,40601.73,1385.21,160693.7,254244.76,55.0
554,83033.37,37108.22,1309.97,161375.03,248919.12,56.0
555,80071.56,35812.84,1008.08,154073.78,263399.48,56.0
556,89031.48,37432.34,1329.65,157569.76,242054.09,57.0
557,85794.68,39345.37,1041.07,151512.87,246900.6,55.0
558,88295.32,36343.32,1276.52,154401.63,231777.96,58.0
559,86745.67,34294.55,1382.68,184623.21,241472.99,59.0
560,87487.55,41459.18,1293.93,156550.88,254367.09,54.0
561,94723.09,42924.89,1574.63,157159.49,250356.54,55.0
562,88722.12,39235.11,1285.39,159488.13,251206.78,56.0
563,85565.53,33538.1,1278.28,164962.58,294174.87,59.0
564,93482.8,40088.41,1095.27,156599.46,252277.2,57.0
565,89587.18,39203.5,1123.52,143167.51,248727.46,56.0
566,85153.04,35961.38,1219.88,166855.6,266103.09,57.0
567,83139.36,36264.11,1632.87,137328.79,226399.3,56.0
568,92193.81,36738.54,1394.29,155891.43,247043.32,58.0
569,88641.91,39586.13,1508.82,149939.83,278830.01,56.0
570,88865.34,40287.48,1515.9,154014.32,260428.78,55.0
571,87768.27,41443.04,1408.83,143152.05,252852.18,54.0
572,89518.43,41076.7,1465.9,157743.57,273604.24,55.0
573,90498.07,42375.82,1390.95,156931.44,268309.19,55.0
574,83262.53,40051.83,1301.43,153524.19,229963.33,54.0
575,80154.62,41358.86,1261.11,146352.2,230207.99,52.0
576,81366.28,40139.9,1385.72,148997.62,245852.59,53.0
577,81669.9,40262.76,1635.87,146556.74,277918.59,53.0
578,82961.76,37164.82,1186.86,156919.91,253060.15,56.0
579,88848.16,38801.75,1277.22,169675.02,256220.46,56.0
580,89214.8,39369.89,1335.28,172423.55,281635.54,56.0
581,80011.4,39049.93,1846.5,145248.88,248227.93,53.0
582,89088.77,39154.6,1646.58,148179.63,266386.5,56.0
583,93322.39,38521.36,1315.67,156438.92,251131.34,58.0
584,82838.59,37074.58,1288.45,154146.96,237517.51,56.0
585,81970.67,44359.27,1432.64,164263.61,271463.39,51.0
586,92414.37,43087.46,1537.94,162589.76,260029.16,55.0
587,86731.34,41799.03,1597.61,160575.25,238002.78,54.0
588,88326.83,41206.98,1774.82,158035.2,251196.59,55.0
589,88750.77,40857.12,1364.43,144736.16,256363.19,55.0
590,78659.4,42589.61,1190.33,174914.66,253388.42,51.0
591,79020.31,39296.13,1410.86,153964.64,263065.09,53.0
592,81612.62,37181.16,1723.49,148394.51,268747.54,55.0
593,86957.63,40028.2,1465.56,153689.76,228968.34,55.0
594,83947.13,37571.62,1342.35,153344.42,233951.45,56.0
595,78854.18,38072.13,1810.38,160573.69,268729.21,54.0
596,85407.98,40584.77,1499.39,147095.17,257486.63,54.0
597,92528.95,39971.81,1361.67,155078.01,262871.4,57.0
598,82503.46,32432.81,1348.16,146827.59,251708.35,59.0
599,81787.35,36562.63,1290.52,142844.5,269542.73,56.0
600,75396.81,37732.62,1382.28,136567.16,243919.7,53.0
601,61687.67,27948.63,1390.05,118567.47,197638.37,55.0
602,84936.97,38145.73,1490.47,157020.36,253440.58,56.0
603,77916.26,35599.65,1401.41,159270.51,235565.42,55.0
604,82109.79,34821.4,1313.69,166939.77,246257.48,57.0
605,80677.57,35219.82,1258.06,155269.4,231548.75,56.0
606,91788.68,34699.83,1536.36,148397.45,229002.16,60.0
607,73241.52,37684.85,1575.12,149044.46,247819.29,52.0
608,81029.89,34810.37,1426.39,151588.54,267101.32,57.0
609,80603.09,40363.19,1544.13,146508.89,238165.03,53.0
610,78179.79,35340.78,1677.45,163824.06,260951.94,55.0
611,77592.58,40130.47,1349.48,151265.53,229577.13,52.0
612,77432.18,36610.75,1706.9,155359.32,247331.99,54.0
613,74115.17,38762.29,1569.71,163357.81,238485.14,52.0
614,91871.74,38021.84,1362.65,154351.51,247711.23,58.0
615,70385.69,37858.59,1393.97,160697.74,249338.29,51.0
616,82462.11,36554.22,1451.61,155428.38,215478.04,56.0
617,86566.83,32767.18,1587.06,147974.28,241203.01,60.0
618,89313.82,36450.57,1504.77,157513.32,243433.59,58.0
619,84137.79,36572.61,1511.28,148753.48,237414.71,56.0
620,95311.92,37716.73,1334.9,146292.93,269284.99,59.0
621,79328.43,38713.46,1527.75,140690.67,241443.61,53.0
622,80697.62,40719.25,1475.29,174680.75,253934.0,53.0
623,81465.29,40308.23,1231.01,166195.88,246455.27,53.0
624,91184.28,40136.26,1491.6,159372.6,255926.01,56.0
625,85252.06,37510.64,1210.63,160589.52,247731.62,56.0
626,90731.71,37905.99,1615.68,153153.81,241745.36,57.0
627,88193.82,37380.42,1395.04,170858.65,240540.37,57.0
628,82817.3,39927.45,1279.6,165516.49,248957.0,54.0
629,82129.84,38661.15,1315.99,165704.74,252023.54,54.0
630,93017.52,36098.66,1345.91,153143.29,239641.2,59.0
631,80597.37,40745.95,1345.61,170990.84,255318.43,53.0
632,90342.14,40516.16,1346.24,165705.66,253630.2,56.0
633,94756.22,36939.16,1569.45,153922.76,238587.1,59.0
634,84003.17,42059.37,1455.55,153678.42,261569.74,53.0
635,81296.29,40429.19,1232.41,162496.55,265282.59,53.0
636,83516.21,36610.27,1304.02,162692.4,254027.79,56.0
637,89949.72,35204.36,1275.5,150431.35,258688.75,59.0
638,88855.51,33715.56,1609.4,145717.8,253183.68,59.0
639,82416.28,36243.73,1442.7,171270.76,250011.13,56.0
640,95300.46,37108.88,1258.69,162008.51,269968.01,59.0
641,96893.08,39307.35,1147.82,157450.39,259384.01,58.0
642,82656.89,40304.15,1412.02,165633.02,270345.21,54.0
643,90849.14,33811.66,1518.25,151037.2,250431.14,60.0
644,97328.47,37747.85,1137.82,153190.58,237588.02,59.0
645,80511.44,41212.14,1707.13,162176.47,245113.65,52.0
646,89422.66,34707.46,1217.7,152863.54,240226.38,59.0
647,98797.92,37471.89,1398.14,163259.47,266595.65,60.0
648,89035.97,38150.49,1487.76,157255.72,248114.94,57.0
649,89064.61,42638.89,1690.76,162858.98,267031.97,54.0
650,84252.37,40926.57,1463.72,151721.27,241217.28,54.0
651,88013.36,37595.09,1231.94,163602.05,264071.49,57.0
652,82353.26,35314.35,1383.63,155281.28,238523.88,57.0
653,92490.46,34211.51,1263.36,157802.94,254017.59,60.0
654,81591.32,38475.56,1376.46,146913.22,252086.74,54.0
655,94074.49,37163.5,1634.82,138360.76,254407.03,59.0
656,79153.7,39342.08,1523.22,154208.81,248734.76,53.0
657,94186.2,38160.57,1376.93,154294.16,284328.11,58.0
658,92461.82,35260.14,1248.12,161130.6,263276.31,60.0
659,86724.37,40587.06,1345.18,158630.54,243186.87,55.0
660,84661.99,38009.31,1321.46,148618.45,264098.0,56.0
661,97454.52,35737.22,1074.51,154195.26,261433.12,61.0
662,87658.18,37643.85,1328.97,146717.28,233304.27,57.0
663,88268.3,40783.88,1386.87,167764.72,243315.33,55.0
664,84633.34,37106.56,1538.23,163836.05,249701.21,56.0
665,89053.15,40862.41,1464.02,175181.5,269864.05,55.0
666,91886.07,38817.18,1607.14,155176.73,280784.47,57.0
667,86919.15,35447.43,1572.25,159736.03,247815.22,58.0
668,86463.71,38515.88,1512.38,175637.88,261323.02,56.0
669,91379.07,37370.88,1401.44,158822.45,261127.29,58.0
670,88316.99,40764.47,1461.05,164246.78,268930.22,55.0
671,86801.72,40062.03,1189.82,165387.59,280199.31,55.0
672,87838.64,40317.36,1340.27,176992.47,234692.76,55.0
673,82914.68,39854.24,1558.84,157148.06,278784.29,54.0
674,87494.9,38298.56,1431.06,165828.14,252881.91,56.0
675,91522.29,36874.59,1466.18,159825.04,275024.52,58.0
676,84524.49,38943.93,1335.8,152884.22,238507.58,55.0
677,86581.15,38216.49,1505.77,139655.99,246924.21,56.0
678,86291.85,31581.52,1228.74,146476.97,257971.06,61.0
679,79901.31,32298.61,1371.83,146140.15,251644.31,58.0
680,79016.2,32707.86,1192.78,158897.2,251933.82,58.0
681,82436.33,38843.34,1638.39,150573.69,259371.79,54.0
682,80479.93,38922.34,1362.02,164474.2,262091.68,54.0
683,89995.55,33683.21,1296.71,167393.86,270667.36,60.0
684,94827.84,39785.45,1413.28,159556.47,271913.14,57.0
685,85340.85,36564.85,1191.22,166279.76,256027.96,57.0
686,87300.12,35051.12,1706.73,160694.35,235188.22,58.0
687,86082.74,38210.56,1357.99,162126.61,259112.83,56.0
688,74516.19,36083.54,1416.35,160477.38,256823.14,54.0
689,85547.09,37151.92,1354.52,167072.23,261722.65,56.0
690,90347.87,37442.53,1605.07,165870.68,280851.75,57.0
691,82152.75,38622.26,1287.38,152343.04,266940.24,54.0
692,96148.33,35872.62,1411.95,153025.46,260949.9,60.0
693,79417.22,39718.7,1353.21,155809.47,258372.71,53.0
694,78629.5,35710.59,1365.39,166326.6,256246.13,55.0
695,83759.69,38149.68,1208.96,161025.68,225943.79,55.0
696,77867.57,41623.91,1408.52,152356.3,259681.69,51.0
697,72508.23,35843.33,1216.2,147432.18,264493.54,53.0
698,78128.23,37278.06,1158.5,159303.9,237490.15,54.0
699,84567.46,37901.29,1481.19,165913.86,259090.41,56.0
700,79841.16,40203.89,1201.56,160337.41,259290.23,53.0
701,85698.91,36361.48,1475.42,148580.77,271731.69,57.0
702,80709.08,40272.88,1246.65,151116.79,261422.93,53.0
703,79173.75,36574.72,1239.44,144534.73,281361.46,55.0
704,98265.14,32996.7,1552.9,159022.06,267800.65,62.0
705,92882.89,39512.41,1445.94,152993.17,266442.74,57.0
706,77907.67,38109.9,1236.21,163587.32,245395.03,54.0
707,86919.15,38405.21,1433.03,148841.93,250420.95,56.0
708,82072.54,38116.24,1262.83,152452.53,255273.57,55.0
709,85624.44,38093.56,1211.39,154706.44,278052.32,56.0
710,74639.36,38351.61,1517.08,146748.66,253542.53,52.0
711,85441.11,34635.27,1455.94,165570.46,284491.22,58.0
712,85587.2,40175.22,1456.85,149356.59,267256.26,54.0
713,89502.87,39028.38,1399.54,157660.52,280815.04,56.0
714,86300.44,39536.59,1455.11,146276.83,268909.82,55.0
715,77217.35,40605.86,1420.62,160181.53,246916.06,52.0
716,83453.2,38631.87,1319.36,152574.2,251640.22,55.0
717,84524.49,42069.79,1355.68,161344.75,254199.06,53.0
718,84315.39,42335.48,1402.61,170669.03,257131.01,53.0
719,82144.16,43016.47,1322.06,157954.44,250614.64,52.0
720,82951.93,37852.94,1349.31,154000.51,231768.96,55.0
721,78059.49,35360.46,1388.4,163962.37,281165.74,55.0
722,81917.87,41100.37,1472.99,169208.41,268133.0,53.0
723,84951.29,39352.02,1781.24,157730.59,243592.62,55.0
724,84008.9,39677.02,1367.72,164290.23,275214.14,54.0
725,86277.52,38996.3,1281.74,159554.09,273825.66,55.0
726,86148.62,37021.16,1311.96,157874.76,267757.83,57.0
727,86303.3,38801.38,1508.54,150918.56,266565.07,55.0
728,78125.37,36818.88,1806.63,151715.51,274319.06,54.0
729,93452.91,39499.34,1526.69,155545.19,268675.35,57.0
730,90703.06,36530.18,1105.13,177515.81,270681.63,58.0
731,90216.11,37502.74,1235.54,171047.46,266756.73,58.0
732,77231.67,35980.97,1079.18,166979.57,257045.38,55.0
733,80184.89,38472.7,1313.66,156721.86,269439.93,54.0
734,87162.63,36252.58,1383.47,171250.55,268689.62,57.0
735,89136.22,37094.44,1227.74,158410.71,277583.36,58.0
736,79331.29,38228.68,1280.64,167636.92,281343.12,54.0
737,84982.8,33844.62,1291.14,172265.66,241739.24,58.0
738,92716.75,37516.77,1564.74,171480.52,272127.23,58.0
739,83499.03,38967.7,1283.47,169976.72,271635.86,55.0
740,78251.4,39418.56,1770.44,164978.77,280378.72,53.0
741,73307.4,39591.41,1414.69,161661.45,243582.43,51.0
742,79159.42,38345.28,1264.39,162359.34,250579.98,54.0
743,71399.7,40055.83,1448.54,146755.97,275275.33,50.0
744,79712.26,37594.95,1530.69,157568.39,271160.8,54.0
745,82307.43,40926.7,1451.94,158581.23,263547.48,53.0
746,102275.34,45522.78,1456.98,177040.41,265894.26,56.0
747,95649.92,39170.59,1214.4,184270.22,261398.46,58.0
748,87821.45,37645.15,1239.75,162565.25,274100.9,57.0
749,89502.87,38115.56,1506.24,160387.54,237816.39,57.0
750,94890.85,35323.89,1183.04,171850.9,266548.77,60.0
751,87019.41,40496.55,1353.88,168790.72,266395.83,55.0
752,93650.55,38121.89,1196.08,162101.55,274406.72,58.0
753,84647.66,36169.9,1299.28,179699.56,251607.6,57.0
754,93690.66,37358.49,1195.32,158110.4,259059.84,58.0
755,92831.33,37391.45,1264.56,169513.85,260727.66,58.0
756,90072.89,35217.17,1214.76,165063.95,247760.16,59.0
757,94409.63,38983.23,1232.81,169921.84,266022.73,58.0
758,89689.06,32702.21,1051.66,160264.96,247068.97,61.0
759,91803.0,35173.24,1235.81,160910.79,268216.59,60.0
760,97881.31,34760.92,1561.84,168082.41,236438.08,61.0
761,90035.65,33730.0,1046.33,168109.31,255985.14,60.0
762,95770.24,34025.92,1168.1,174647.73,277075.69,61.0
763,88637.81,35282.68,1136.85,172677.31,267333.75,59.0
764,92613.63,37466.78,1220.13,161923.26,265892.22,58.0
765,87999.04,36962.45,1169.77,176743.84,247935.51,57.0
766,90826.23,34318.16,1390.81,166235.86,259004.77,60.0
767,97792.51,33778.22,1142.95,180921.96,238913.32,62.0
768,94263.54,34653.72,1342.34,165431.04,245747.76,60.0
769,87738.38,38123.46,1329.17,170658.04,255518.23,56.0
770,93215.16,36945.42,1165.67,177249.98,304393.07,59.0
771,95483.79,38836.8,1152.16,168890.34,286801.28,58.0
772,86246.02,38937.39,1653.8,184952.45,272465.69,55.0
773,88107.89,38183.8,1540.73,165370.75,267388.8,56.0
774,91373.34,39066.86,1435.2,168962.97,287879.88,57.0
775,97357.12,36978.59,1112.7,159991.17,250569.8,60.0
776,88838.32,38948.76,1462.11,174100.79,240964.46,56.0
777,101344.4,37531.95,1116.24,174955.55,270335.04,60.0
778,90147.36,42277.72,1326.07,163990.55,280315.51,55.0
779,84982.8,39203.48,1526.09,164386.92,265949.31,55.0
780,96944.64,37611.98,1157.76,166139.08,265437.57,59.0
781,103959.62,35667.82,1436.27,158643.71,238183.39,62.0
782,96354.57,37796.95,1145.66,152868.67,279192.07,59.0
783,84916.92,35406.16,1164.37,152957.76,288454.87,57.0
784,88062.06,37088.31,1414.02,167489.36,263912.45,57.0
785,92902.94,38289.91,1224.74,163080.26,259759.18,58.0
786,92436.04,35933.57,1208.06,164410.98,278574.26,59.0
787,89267.99,36086.95,1185.61,186294.88,257987.36,58.0
788,97262.6,37983.7,1162.77,175962.17,290026.87,59.0
789,91098.35,37419.78,992.49,170395.14,259078.17,58.0
790,87890.2,35580.58,950.63,167106.26,254490.62,58.0
791,96303.02,35178.48,1128.04,163719.23,245941.46,61.0
792,98772.15,34079.38,1274.03,165732.55,248302.52,62.0
793,89820.82,35142.45,1224.0,168364.99,265963.61,59.0
794,90273.39,39459.36,1482.56,177745.89,254131.77,56.0
795,92731.08,33341.66,1295.25,175984.76,265741.35,61.0
796,93295.36,34539.17,1040.72,174733.9,283957.0,60.0
797,100757.19,34928.73,768.82,173882.89,277546.68,62.0
798,96764.18,37535.77,1190.91,180098.67,270912.03,59.0
799,91321.78,33491.76,990.93,158101.34,260409.59,61.0
800,91178.56,33203.13,1192.88,170168.82,257944.55,61.0
801,93535.98,35087.08,1249.12,171636.12,280087.14,60.0
802,92310.01,38017.07,932.76,161852.09,251415.94,58.0
803,88732.34,33334.64,1428.93,181884.85,244510.14,60.0
804,86753.02,32153.69,1203.39,166945.91,255648.72,60.0
805,92776.91,38941.89,1170.37,164114.77,236737.79,57.0
806,95655.65,36276.76,1124.64,162613.73,273693.13,60.0
807,88374.28,37869.83,1176.81,170388.46,261157.88,57.0
808,98431.29,38500.76,1182.78,165271.22,245815.04,59.0
809,84060.46,37657.13,1023.48,169813.07,252906.38,56.0
810,88941.44,35334.72,1005.87,170280.16,236784.69,59.0
811,83301.38,36321.23,1065.44,171022.31,258501.17,56.0
812,91436.35,40274.59,1407.05,173948.21,288991.08,56.0
813,92788.36,37789.67,1357.15,165484.55,277636.37,58.0
814,86990.76,36160.43,1171.1,175651.59,256894.51,58.0
815,94220.58,38753.98,1319.13,159455.02,251250.78,58.0
816,111461.56,36064.2,1286.41,176598.48,273858.27,63.0
817,89365.37,36448.52,1617.18,162493.44,299100.02,58.0
818,94054.44,36577.86,1238.78,193562.28,270173.96,59.0
819,88296.94,37845.04,1372.53,167714.67,265930.97,57.0
820,85547.09,40901.43,1475.32,177223.36,271935.58,54.0
821,93722.16,35239.44,1158.83,161728.77,261724.68,60.0
822,94137.51,38463.65,1269.66,181595.42,258213.69,58.0
823,97242.54,36371.02,1304.62,161811.19,274912.39,60.0
824,102384.19,36991.06,1139.65,163534.07,284368.88,61.0
825,88044.88,36837.95,1297.05,173463.74,263310.95,57.0
826,81087.19,36350.11,1068.67,157412.61,245156.48,56.0
827,79248.22,32508.86,1082.58,162905.36,261494.29,58.0
828,86529.59,36675.59,1271.06,161676.45,239535.19,57.0
829,89210.69,35286.16,1000.8,159666.79,286695.29,59.0
830,95896.27,34540.87,1115.34,168093.03,248636.9,61.0
831,101138.17,35504.84,1159.06,165854.22,261885.76,62.0
832,92132.41,38377.97,1169.27,167590.64,292296.19,58.0
833,102134.98,34258.5,975.12,174713.77,285072.31,63.0
834,91152.78,35513.83,1267.13,178731.0,285039.67,59.0
835,101917.28,36602.31,873.79,176776.49,311926.83,61.0
836,91275.94,35575.4,1275.07,175134.2,289233.71,59.0
837,103091.7,35676.74,1094.36,170846.31,282766.28,62.0
838,93260.99,33941.61,1126.11,165930.87,254423.33,61.0
839,102484.44,34001.95,818.09,203241.2,278957.6,63.0
840,100273.1,36979.41,1260.72,167896.62,269668.29,60.0
841,92172.51,36860.84,1386.83,169966.48,266163.4,58.0
842,94764.82,34136.25,1288.64,161051.3,225356.57,61.0
843,93914.08,35992.69,1375.33,167705.43,244956.66,59.0
844,93467.23,35838.84,1371.16,154575.45,259504.31,59.0
845,99614.29,37747.3,1192.85,161541.89,288222.44,60.0
846,87048.05,36740.02,1368.96,181020.85,257094.31,57.0
847,90554.11,35912.53,1354.32,166026.47,271309.64,59.0
848,93249.53,37465.55,1360.69,173109.9,262674.81,58.0
849,84894.0,36844.42,1202.69,162990.34,261227.2,56.0
850,84802.35,35634.86,1286.47,161652.95,253361.06,57.0
851,83739.64,36216.96,1113.74,164744.6,245988.36,57.0
852,84862.5,35446.34,1363.25,165094.59,247007.8,57.0
853,92602.18,35290.86,1193.15,152657.54,264605.67,60.0
854,91914.72,32097.36,886.06,176777.14,254755.67,62.0
855,101905.82,35247.75,1656.8,171447.95,286293.61,62.0
856,96176.97,35696.56,1336.17,153557.67,247568.51,60.0
857,91568.12,36727.62,1031.68,161836.54,239298.68,58.0
858,89359.64,36583.58,1338.34,178373.23,256309.33,58.0
859,80013.02,32286.83,1067.51,162193.66,262945.98,58.0
860,82510.81,33627.29,1051.36,165753.14,253010.36,58.0
861,88560.47,36397.1,1332.57,169036.52,266004.39,58.0
862,88460.22,37747.24,1122.57,148451.87,240371.14,57.0
863,84902.6,35343.16,1178.67,151258.94,238780.78,57.0
864,84707.82,32771.0,1226.3,161714.42,253442.61,59.0
865,83246.96,34456.56,1382.17,166380.94,235981.35,57.0
866,83181.08,35262.86,1471.05,163047.52,240501.64,57.0
867,87070.97,36058.75,1434.73,160273.75,271228.09,58.0
868,98628.92,35364.14,1084.92,158290.25,255163.47,61.0
869,85535.64,42382.27,1199.65,154797.74,251630.02,53.0
870,88176.64,40139.6,1392.84,156829.54,298902.26,55.0
871,89202.1,39802.47,1592.43,163738.17,268811.96,56.0
872,98494.3,39941.07,1571.82,169964.56,278753.71,58.0
873,94415.36,37487.0,1624.61,162756.43,266783.23,59.0
874,82396.23,37491.64,2251.27,168208.19,257155.48,55.0
875,86601.21,38235.63,995.53,168183.04,281404.3,56.0
876,87122.53,38103.09,1352.45,164962.41,277634.34,56.0
877,89964.04,38912.33,1434.47,173932.93,252565.89,56.0
878,93240.94,41960.69,1749.02,177918.03,269829.37,55.0
879,107056.07,42557.23,1447.54,181264.0,253138.81,59.0
880,99233.33,37428.91,1530.16,182572.77,272282.17,60.0
881,101312.9,38380.56,1380.16,172576.69,264556.76,60.0
882,95535.35,35125.56,1386.07,160507.74,263111.16,60.0
883,90330.69,38485.37,1383.3,181119.19,275495.52,57.0
884,113220.31,43812.43,1606.1,188693.14,316059.73,59.0
885,105996.22,44949.93,1308.39,196877.23,291366.43,57.0
886,113985.12,39553.41,1443.17,175189.74,289633.36,62.0
887,89986.95,41248.23,1529.86,164840.1,267470.36,55.0
888,92106.63,33698.94,1430.03,169780.59,228349.69,60.0
889,79594.82,32523.09,1519.15,164246.04,263137.67,58.0
890,87546.46,33362.16,1126.64,154134.16,262163.07,60.0
891,93197.98,34666.53,1083.72,143670.91,241755.57,60.0
892,94681.75,36413.99,1382.07,165556.28,239049.92,59.0
893,78961.78,31113.43,1276.57,150683.65,251585.17,59.0
894,83235.5,39112.42,1012.07,152690.47,236362.64,55.0
895,91462.13,32254.69,1733.31,138681.38,222646.85,61.0
896,96981.88,31157.22,1510.88,151283.55,255732.33,63.0
897,98204.99,35762.49,1375.33,162696.42,270677.57,61.0
898,93518.79,40203.76,1658.9,167435.03,262823.65,57.0
