,Ca44,Na23,K39,Al27,Si29,An
102,80234.83,42100.13,1198.03,162579.78,246719.13,52.0
103,83606.26,35848.8,1105.14,165463.78,243717.84,57.0
104,100162.64,30848.93,1148.6,163853.7,262257.7,65.0
105,88020.33,35459.17,1231.89,162973.77,234752.74,58.0
106,83720.83,33921.47,1375.78,162494.52,266969.63,58.0
107,77791.47,32611.45,1246.83,155114.78,225424.7,57.0
108,84697.6,29206.69,1620.69,157947.2,229881.77,62.0
109,89942.37,36296.33,1055.25,155547.3,263587.07,58.0
110,90409.27,33340.32,1370.31,157181.26,247332.85,60.0
111,83981.5,32076.27,1326.35,157184.19,250160.82,60.0
112,85978.0,32105.76,1032.83,165284.76,270299.17,60.0
113,91520.67,33721.37,980.13,158133.8,253049.96,60.0
114,96968.8,34287.54,1158.01,154306.32,258579.49,61.0
115,86794.37,34921.74,1051.44,152644.17,242790.14,58.0
116,85800.41,29281.88,1385.21,166724.24,290113.33,62.0
117,89698.89,33833.82,1388.78,152890.52,260402.28,60.0
118,87444.59,32635.9,1253.53,170366.04,244402.91,60.0
119,82915.93,33478.64,1209.04,159311.85,248719.29,58.0
120,90205.89,36467.55,1370.51,174572.71,245611.99,58.0
121,83271.12,32113.59,1099.41,146873.15,228073.26,59.0
122,83646.36,31722.73,1475.77,153904.82,268433.56,60.0
123,95212.91,31620.98,1379.75,169989.61,280817.92,63.0
124,86731.34,36145.75,1367.64,147170.82,263407.65,57.0
125,82302.95,31452.83,1239.39,158640.05,232081.76,59.0
126,81893.33,35051.08,1202.5,177069.12,262891.81,57.0
127,83829.68,34747.39,1225.78,144812.91,267383.54,58.0
128,82383.15,36645.03,1391.68,152591.39,236459.3,56.0
129,75989.75,35507.59,1377.18,155907.9,237113.8,55.0
130,79959.84,34451.0,1186.16,154348.67,258249.19,57.0
131,83222.42,34988.15,1162.38,166718.4,257504.98,57.0
132,84605.94,34512.02,1301.2,165701.54,236022.98,58.0
133,82348.78,30596.46,1387.08,149484.09,284475.75,60.0
134,81604.02,34897.09,1018.26,164161.42,248397.16,57.0
135,95072.56,35456.85,1199.4,148829.39,232942.19,60.0
136,87533.38,31452.83,1183.83,148776.34,263640.08,61.0
137,85972.28,33092.55,1468.2,160102.77,236734.56,59.0
138,79086.19,35168.42,1138.0,151617.34,254954.3,56.0
139,86338.92,33365.66,1296.36,152748.1,229170.19,59.0
140,82159.72,34008.44,1132.53,140932.36,245815.88,58.0
141,86702.7,33091.26,903.15,139941.2,270005.56,60.0
142,80292.12,33560.17,1025.99,145066.57,233937.18,57.0
143,82572.2,33150.44,1141.6,152808.19,263399.48,58.0
144,81830.31,31961.92,1133.39,149710.96,242143.81,59.0
145,89134.6,33437.17,1256.74,145288.4,256699.61,60.0
146,80512.68,32319.61,1275.05,153277.28,232330.51,58.0
147,79596.06,32928.48,1141.4,151596.95,240316.94,58.0
148,84832.23,31451.4,1103.24,154810.26,260092.38,60.0
149,87536.25,35626.3,1550.28,155627.52,264912.36,58.0
150,84574.43,31902.94,1127.42,154685.02,247139.15,60.0
151,86009.51,34296.53,1013.05,160967.23,230676.95,59.0
152,80736.1,33401.75,1129.56,145814.49,241301.73,58.0
153,80002.81,34264.04,1237.56,155186.6,239584.96,57.0
154,81137.12,32876.24,1028.3,142900.02,274370.88,58.0
155,88590.36,33531.36,1341.72,151462.93,236151.44,60.0
156,87859.93,34783.42,1160.11,148491.29,253592.31,59.0
157,80303.58,35236.73,1456.96,148652.2,231502.71,56.0
158,84686.14,34262.75,1220.25,141776.6,267579.26,58.0
159,80005.67,36537.97,1471.47,159597.17,255733.16,55.0
160,80103.07,32170.46,1297.16,152099.79,241719.71,58.0
161,70934.04,33034.66,1192.83,145382.07,261291.25,55.0
162,80716.05,38401.42,1589.34,168604.93,266327.38,54.0
163,85273.35,38488.39,1425.47,158102.44,249094.46,55.0
164,83855.46,33339.16,1159.91,151715.04,248309.48,59.0
165,83382.83,32845.39,1318.04,152936.45,246774.18,59.0
166,72578.22,33156.37,1441.02,134640.46,251039.58,55.0
167,86654.01,36524.35,1363.6,147016.68,224476.61,57.0
168,87587.81,35841.24,1173.25,171361.59,269455.07,58.0
169,82176.91,35018.18,1541.24,158846.05,244378.46,57.0
170,84683.28,34986.44,1346.96,159926.77,228739.97,58.0
171,95106.93,40041.28,1493.88,164941.72,263128.31,57.0
172,76095.73,37104.2,1210.01,150326.61,256697.58,54.0
173,75537.17,35506.64,1528.47,155654.68,243673.0,54.0
174,76430.87,34528.57,976.2,166926.04,226276.97,56.0
175,84600.21,34927.26,1457.46,165267.84,284824.41,58.0
176,82852.91,36074.57,1473.6,153779.5,278986.98,56.0
177,85479.59,38732.21,1103.51,152965.99,261283.1,55.0
178,83368.51,37422.74,1516.16,158050.02,264896.06,56.0
179,84101.8,39822.52,1315.81,152582.42,238210.73,54.0
180,81818.85,38309.82,1481.47,142529.18,256923.89,55.0
181,80231.96,39788.4,1175.42,150623.8,237486.92,53.0
182,88152.1,37848.47,1340.85,164347.94,276334.36,57.0
183,78593.51,40653.42,1622.26,157845.1,261354.45,52.0
184,85800.41,39773.15,1253.87,151750.53,244519.14,55.0
185,86336.05,35668.8,1632.4,151549.47,264694.2,58.0
186,80400.96,33240.75,1752.34,144424.12,246295.03,57.0
187,83271.12,38085.82,1244.26,150636.25,265662.67,55.0
188,81372.01,38040.93,1524.8,157351.31,259788.58,55.0
189,83351.33,37012.87,1438.88,165352.54,259295.16,56.0
190,73102.41,36024.99,1135.1,164524.22,228711.43,53.0
191,74408.59,42397.48,1228.85,153910.4,252248.66,50.0
192,78138.07,37916.23,1270.08,153032.77,235772.2,54.0
193,76304.84,37013.35,1438.45,163622.53,222611.0,54.0
194,82867.23,38856.51,1320.71,157349.95,252313.91,55.0
195,75459.83,34670.02,1400.66,173409.12,254132.63,55.0
196,75511.39,36341.76,1182.66,151934.68,209523.21,54.0
197,78327.12,37725.13,1512.09,148260.41,245681.31,54.0
198,71415.26,38122.12,1383.65,145700.23,246551.93,51.0
199,82890.15,35183.41,1482.77,138652.84,242386.43,57.0
200,81303.26,36623.51,1444.42,147801.28,275908.24,55.0
201,79836.68,36542.19,1230.95,156518.87,259036.2,55.0
202,64348.73,36414.02,1273.48,157582.74,249308.56,50.0
203,79266.65,38082.0,1598.51,145465.22,238920.28,54.0
204,88137.78,36280.6,1334.08,155124.03,272698.96,58.0
205,77510.76,35894.3,1398.42,164958.92,248668.33,55.0
206,87653.69,36900.63,1311.3,149459.67,239299.52,57.0
207,82291.48,36565.35,1334.38,146699.44,238141.41,56.0
