,Li7,Na23,Mg24,Al27,Si29,P31,K39,Ca43,Ca44,Ti47,Mn55,Fe57,Cu65,Ga71,Sr88,Y89,Ba138,Ce140,Pb208
1-001-N610.csv,0.0017438588895561965,0.001121787394946211,0.0014346599903015055,0.0013014541017016491,0.03249936619314976,0.00482357950976256,0.0013657154912487522,0.53668014170103,0.033894333559490654,0.010288399908355339,0.0006526447004198842,0.024180234834034607,0.0028009623218061344,0.0013149914817662612,0.0005875207833264936,0.0005106302113398861,0.0006286986724342624,0.0004773970127640546,
1-002-N610.csv,0.0017234952606862465,0.0011249447776010332,0.001457488113864279,0.0013509829458313981,0.03298985719066822,0.004764530999755075,0.001533600392577905,0.5403715098009824,0.034154867883451304,0.010336595741107533,0.0006536420605861098,0.02589637977097956,0.0027214356509405197,0.0012875068250609379,0.0005981339958775674,0.0005337876004894226,0.0006332627562009238,0.0004807596349919434,
1-003-BCR2.csv,0.0016554987046167664,0.0010507236574236706,0.0015366591221197096,0.0012097251832290986,0.029070146033625406,0.00040323644864600995,9.760611077300366e-05,0.5437677439476076,0.03441848087551526,0.01085054320227313,0.0063073768762168725,0.0360571202995372,0.0029842451711329094,0.0012491326011307743,0.0006046330737417314,0.0005641492906941313,0.000644460460731664,0.0004976871788638072,
1-004-SPH.csv,0.003018330762629064,0.0020888635810463944,0.0031648897963520643,0.002482064673634409,0.057585922174861096,0.006109607624470771,0.0023597307294005317,1.1067430668018579,0.07017237497813934,0.015940702941164796,0.0026420763949266102,0.060025450014130226,0.004791185445851811,0.0024679698949131817,0.0012333232586776944,0.0010935534473187146,0.0012607555117201737,0.000985872634366247,0.002003045092440245
1-006-SPH.csv,0.002998502292694274,0.002021092777693898,0.002955289444522423,0.0023212500856950717,0.05418760391869574,0.0068169990575937325,0.0019395075946558092,1.0433456513116242,0.06569854003127755,0.014970718370911294,0.0024998358995810266,0.05826897547685488,0.004678323854181828,0.0023768789578093312,0.001166834953251975,0.0010434316754564515,0.0012017517740439273,0.0009424576566258655,0.001764662366019085
1-016-NIST610.csv,0.001201556020617581,0.0007486946304038669,0.0009821809845456191,0.0008784953701440414,0.021616446737356795,0.0030340129325829124,0.0014080939497467285,0.3749499974196393,0.023642427944565652,0.007142532264867856,0.00045159586957338173,0.01866364148922595,0.0018330756979133447,0.0008397050945943614,0.0004111083542687503,0.0003529670545036211,0.0004510268872848661,0.0003441699061556158,
1-017-NIST610.csv,0.0012291812913394747,0.0007868415864497641,0.0010244267128632241,0.0009204575517208478,0.022378411464725072,0.0031189426550461336,0.0012998546749732225,0.39246607723205273,0.024707783908338152,0.007496210078714172,0.0004750387206320964,0.019721505794534692,0.0019434756117454035,0.0008810944432787875,0.00043287497169640674,0.0003713749017291178,0.0004701386100448711,0.0003594214297460757,
1-018-SPH4.csv,0.003678449436331156,0.0025925859221143477,0.0036672980795048856,0.0028495570713050478,0.06508286842928808,0.007092525817704984,0.0026307246756859175,1.2721294508277097,0.08024844470841992,0.01854529900812617,0.003169021297789787,0.07629228054412857,0.005949752304940362,0.0031325975304405365,0.0014222487632125091,0.0012132958137975253,0.0014551474919971509,0.001120787705697142,0.0024490835743048883
1-031-SPH5.csv,0.0020149252555765234,0.001383160774613266,0.002113767980538941,0.0016504079760259445,0.03692182478828569,0.005157143766773079,0.0014016332742533006,0.750035323141568,0.04696139124788916,0.010614570286420155,0.0017573427990919442,0.042260841882689686,0.0032682629120092135,0.00169438882579976,0.0008326381034557185,0.0007503570120702297,0.0008460845247722946,0.0006643224098265889,0.0012966498575052775
1-040-SPH6.csv,0.0020675079699194903,0.0014242892375239118,0.0020695624885199598,0.001665855951991909,0.036609001113512056,0.005189956634557368,0.0014393579781547634,0.7521837196597838,0.04746097933380501,0.010789401724907895,0.001764158984335154,0.04185944639533202,0.002528224711864323,0.0016975037780423408,0.0008468953385302984,0.0007522888000590085,0.0008525058532649917,0.0006735906397638641,0.0013938431398374301
